Scan,Scan_20251019_043309.csv
Mode,ABS
Lower,350
Upper,1000
Length,651
,,
wavelength(nm) , ABS , %T
350.0,-0.007,101.62
351.0,-0.007,101.62
352.0,-0.007,101.62
353.0,-0.007,101.62
354.0,-0.007,101.62
355.0,-0.008,101.86
356.0,-0.008,101.86
357.0,-0.008,101.86
358.0,-0.008,101.86
359.0,-0.008,101.86
360.0,-0.006,101.39
361.0,-0.006,101.39
362.0,-0.006,101.39
363.0,-0.006,101.39
364.0,-0.006,101.39
365.0,-0.006,101.39
366.0,-0.006,101.39
367.0,-0.006,101.39
368.0,-0.006,101.39
369.0,-0.006,101.39
370.0,-0.006,101.39
371.0,-0.006,101.39
372.0,-0.007,101.62
373.0,-0.007,101.62
374.0,-0.007,101.62
375.0,-0.007,101.62
376.0,-0.007,101.62
377.0,-0.007,101.62
378.0,-0.007,101.62
379.0,-0.007,101.62
380.0,-0.007,101.62
381.0,-0.007,101.62
382.0,-0.007,101.62
383.0,-0.007,101.62
384.0,-0.007,101.62
385.0,-0.007,101.62
386.0,-0.007,101.62
387.0,-0.007,101.62
388.0,-0.007,101.62
389.0,-0.007,101.62
390.0,-0.007,101.62
391.0,-0.007,101.62
392.0,-0.007,101.62
393.0,-0.007,101.62
394.0,-0.007,101.62
395.0,-0.007,101.62
396.0,-0.007,101.62
397.0,-0.007,101.62
398.0,-0.007,101.62
399.0,-0.007,101.62
400.0,-0.007,101.62
401.0,-0.007,101.62
402.0,-0.008,101.86
403.0,-0.008,101.86
404.0,-0.008,101.86
405.0,-0.008,101.86
406.0,-0.008,101.86
407.0,-0.008,101.86
408.0,-0.008,101.86
409.0,-0.007,101.62
410.0,-0.007,101.62
411.0,-0.007,101.62
412.0,-0.007,101.62
413.0,-0.007,101.62
414.0,-0.007,101.62
415.0,-0.007,101.62
416.0,-0.007,101.62
417.0,-0.007,101.62
418.0,-0.007,101.62
419.0,-0.007,101.62
420.0,-0.006,101.39
421.0,-0.006,101.39
422.0,-0.006,101.39
423.0,-0.006,101.39
424.0,-0.006,101.39
425.0,-0.006,101.39
426.0,-0.006,101.39
427.0,-0.006,101.39
428.0,-0.006,101.39
429.0,-0.006,101.39
430.0,-0.006,101.39
431.0,-0.006,101.39
432.0,-0.006,101.39
433.0,-0.006,101.39
434.0,-0.006,101.39
435.0,-0.006,101.39
436.0,-0.006,101.39
