Scan,Scan_20251019_043657.csv
Mode,ABS
Lower,350
Upper,1000
Length,651
,,
wavelength(nm) , ABS , %T
611.0,0.017,96.16
612.0,0.017,96.16
613.0,0.017,96.16
614.0,0.017,96.16
615.0,0.017,96.16
616.0,0.018,95.94
617.0,0.018,95.94
618.0,0.018,95.94
619.0,0.018,95.94
620.0,0.018,95.94
621.0,0.018,95.94
622.0,0.018,95.94
623.0,0.018,95.94
624.0,0.018,95.94
625.0,0.018,95.94
626.0,0.018,95.94
627.0,0.018,95.94
628.0,0.018,95.94
629.0,0.018,95.94
630.0,0.018,95.94
631.0,0.018,95.94
632.0,0.018,95.94
633.0,0.018,95.94
634.0,0.018,95.94
635.0,0.018,95.94
636.0,0.018,95.94
637.0,0.018,95.94
638.0,0.019,95.72
639.0,0.019,95.72
640.0,0.019,95.72
641.0,0.019,95.72
642.0,0.019,95.72
643.0,0.019,95.72
644.0,0.019,95.72
645.0,0.019,95.72
646.0,0.019,95.72
647.0,0.019,95.72
648.0,0.019,95.72
649.0,0.019,95.72
650.0,0.019,95.72
651.0,0.019,95.72
652.0,0.019,95.72
653.0,0.019,95.72
654.0,0.019,95.72
655.0,0.019,95.72
656.0,0.019,95.72
657.0,0.019,95.72
658.0,0.019,95.72
659.0,0.019,95.72
660.0,0.020,95.50
661.0,0.020,95.50
662.0,0.021,95.28
663.0,0.021,95.28
664.0,0.022,95.06
665.0,0.022,95.06
666.0,0.022,95.06
667.0,0.022,95.06
668.0,0.021,95.28
669.0,0.021,95.28
670.0,0.020,95.50
671.0,0.019,95.72
672.0,0.019,95.72
673.0,0.018,95.94
674.0,0.018,95.94
675.0,0.018,95.94
676.0,0.018,95.94
677.0,0.018,95.94
678.0,0.018,95.94
679.0,0.018,95.94
680.0,0.018,95.94
681.0,0.018,95.94
682.0,0.018,95.94
683.0,0.018,95.94
684.0,0.018,95.94
685.0,0.018,95.94
686.0,0.018,95.94
687.0,0.018,95.94
688.0,0.018,95.94
689.0,0.018,95.94
690.0,0.018,95.94
691.0,0.019,95.72
692.0,0.019,95.72
693.0,0.019,95.72
694.0,0.019,95.72
695.0,0.019,95.72
696.0,0.019,95.72
697.0,0.019,95.72
698.0,0.019,95.72
699.0,0.019,95.72
700.0,0.019,95.72
701.0,0.019,95.72
702.0,0.019,95.72
703.0,0.019,95.72
704.0,0.020,95.50
705.0,0.020,95.50
706.0,0.020,95.50
707.0,0.020,95.50
708.0,0.020,95.50
709.0,0.020,95.50
710.0,0.020,95.50
711.0,0.020,95.50
712.0,0.020,95.50
713.0,0.020,95.50
714.0,0.020,95.50
715.0,0.020,95.50
716.0,0.020,95.50
717.0,0.020,95.50
718.0,0.020,95.50
719.0,0.020,95.50
720.0,0.020,95.50
721.0,0.020,95.50
722.0,0.020,95.50
723.0,0.020,95.50
724.0,0.020,95.50
725.0,0.020,95.50
726.0,0.020,95.50
727.0,0.020,95.50
728.0,0.020,95.50
729.0,0.020,95.50
730.0,0.020,95.50
731.0,0.020,95.50
732.0,0.020,95.50
733.0,0.021,95.28
734.0,0.020,95.50
735.0,0.020,95.50
736.0,0.020,95.50
737.0,0.020,95.50
738.0,0.020,95.50
739.0,0.020,95.50
740.0,0.021,95.28
741.0,0.021,95.28
742.0,0.021,95.28
743.0,0.021,95.28
744.0,0.021,95.28
745.0,0.021,95.28
746.0,0.021,95.28
747.0,0.021,95.28
748.0,0.021,95.28
749.0,0.021,95.28
750.0,0.021,95.28
751.0,0.021,95.28
752.0,0.021,95.28
753.0,0.021,95.28
754.0,0.021,95.28
755.0,0.021,95.28
756.0,0.021,95.28
757.0,0.021,95.28
758.0,0.021,95.28
759.0,0.021,95.28
760.0,0.022,95.06
761.0,0.022,95.06
762.0,0.022,95.06
763.0,0.022,95.06
764.0,0.022,95.06
765.0,0.022,95.06
766.0,0.022,95.06
767.0,0.022,95.06
768.0,0.022,95.06
769.0,0.022,95.06
770.0,0.022,95.06
771.0,0.022,95.06
772.0,0.022,95.06
773.0,0.022,95.06
774.0,0.022,95.06
775.0,0.022,95.06
776.0,0.022,95.06
777.0,0.022,95.06
778.0,0.022,95.06
779.0,0.023,94.84
780.0,0.023,94.84
781.0,0.023,94.84
782.0,0.023,94.84
783.0,0.023,94.84
784.0,0.023,94.84
785.0,0.023,94.84
786.0,0.023,94.84
787.0,0.023,94.84
788.0,0.023,94.84
789.0,0.023,94.84
790.0,0.023,94.84
791.0,0.024,94.62
792.0,0.024,94.62
793.0,0.024,94.62
794.0,0.024,94.62
795.0,0.024,94.62
796.0,0.024,94.62
797.0,0.024,94.62
798.0,0.024,94.62
799.0,0.024,94.62
800.0,0.024,94.62
801.0,0.024,94.62
802.0,0.024,94.62
803.0,0.024,94.62
804.0,0.024,94.62
805.0,0.024,94.62
806.0,0.024,94.62
807.0,0.024,94.62
808.0,0.024,94.62
809.0,0.024,94.62
810.0,0.024,94.62
811.0,0.024,94.62
812.0,0.024,94.62
813.0,0.024,94.62
814.0,0.024,94.62
815.0,0.024,94.62
816.0,0.024,94.62
817.0,0.024,94.62
818.0,0.024,94.62
819.0,0.024,94.62
820.0,0.024,94.62
821.0,0.024,94.62
822.0,0.024,94.62
823.0,0.024,94.62
824.0,0.024,94.62
825.0,0.024,94.62
826.0,0.024,94.62
827.0,0.024,94.62
828.0,0.024,94.62
829.0,0.024,94.62
830.0,0.024,94.62
831.0,0.024,94.62
832.0,0.024,94.62
833.0,0.023,94.84
834.0,0.023,94.84
835.0,0.023,94.84
836.0,0.023,94.84
837.0,0.023,94.84
838.0,0.024,94.62
839.0,0.024,94.62
840.0,0.024,94.62
841.0,0.024,94.62
842.0,0.024,94.62
843.0,0.024,94.62
844.0,0.024,94.62
845.0,0.024,94.62
846.0,0.024,94.62
847.0,0.024,94.62
848.0,0.024,94.62
849.0,0.024,94.62
850.0,0.024,94.62
851.0,0.024,94.62
852.0,0.024,94.62
853.0,0.024,94.62
854.0,0.025,94.41
855.0,0.025,94.41
856.0,0.025,94.41
857.0,0.025,94.41
858.0,0.025,94.41
859.0,0.025,94.41
860.0,0.025,94.41
861.0,0.025,94.41
862.0,0.025,94.41
863.0,0.025,94.41
864.0,0.025,94.41
865.0,0.025,94.41
866.0,0.026,94.19
867.0,0.026,94.19
868.0,0.026,94.19
869.0,0.026,94.19
870.0,0.026,94.19
871.0,0.026,94.19
872.0,0.026,94.19
873.0,0.027,93.97
874.0,0.027,93.97
875.0,0.027,93.97
876.0,0.027,93.97
877.0,0.027,93.97
878.0,0.027,93.97
879.0,0.028,93.76
880.0,0.028,93.76
881.0,0.028,93.76
882.0,0.028,93.76
883.0,0.028,93.76
884.0,0.028,93.76
885.0,0.028,93.76
886.0,0.028,93.76
887.0,0.029,93.54
888.0,0.029,93.54
889.0,0.029,93.54
890.0,0.029,93.54
891.0,0.030,93.33
892.0,0.030,93.33
893.0,0.031,93.11
894.0,0.031,93.11
895.0,0.032,92.90
896.0,0.032,92.90
897.0,0.033,92.68
898.0,0.033,92.68
899.0,0.034,92.47
900.0,0.034,92.47
901.0,0.035,92.26
902.0,0.035,92.26
903.0,0.036,92.04
904.0,0.036,92.04
905.0,0.036,92.04
906.0,0.036,92.04
907.0,0.036,92.04
908.0,0.035,92.26
909.0,0.035,92.26
910.0,0.034,92.47
911.0,0.034,92.47
912.0,0.033,92.68
913.0,0.033,92.68
914.0,0.032,92.90
915.0,0.032,92.90
916.0,0.031,93.11
917.0,0.031,93.11
918.0,0.030,93.33
919.0,0.030,93.33
920.0,0.029,93.54
921.0,0.029,93.54
922.0,0.028,93.76
923.0,0.028,93.76
924.0,0.027,93.97
925.0,0.027,93.97
926.0,0.026,94.19
927.0,0.025,94.41
928.0,0.024,94.62
929.0,0.024,94.62
930.0,0.023,94.84
931.0,0.022,95.06
932.0,0.021,95.28
933.0,0.020,95.50
934.0,0.019,95.72
