Wavelength_nm,I0_Reference_uW_per_cm2,I_Sample_uW_per_cm2,Absorbance,Transmittance_%
410,209.46,211.23,0.0,100.0
435,1263.09,1268.092,0.0,100.0
460,838.495,837.437,0.0005,99.87
485,580.641,1168.461,0.0,100.0
510,5501.135,5517.925,0.0,100.0
535,5467.138,5472.208,0.0,100.0
560,4811.383,4824.715,0.0,100.0
585,9217.452,9266.114,0.0,100.0
610,24946.318,25006.464,0.0,100.0
645,4565.951,4599.166,0.0,100.0
680,3266.156,3290.109,0.0,100.0
705,1616.967,1625.036,0.0,100.0
730,1277.627,1293.915,0.0,100.0
760,764.361,774.58,0.0,100.0
810,1291.726,1297.347,0.0,100.0
860,378.32,379.508,0.0,100.0
900,251.72,252.748,0.0,100.0
940,287.641,290.164,0.0,100.0
