Wavelength_nm,I0_Reference_uW_per_cm2,I_Sample_uW_per_cm2,Absorbance,Transmittance_%
410,209.46,199.342,0.0215,95.17
435,1263.09,1190.094,0.0259,94.22
460,838.495,786.569,0.0278,93.81
485,580.641,824.13,0.0,100.0
510,5501.135,5209.972,0.0236,94.71
535,5467.138,5152.901,0.0257,94.25
560,4811.383,4383.883,0.0404,91.11
585,9217.452,8471.009,0.0367,91.9
610,24946.318,22186.565,0.0509,88.94
645,4565.951,4189.12,0.0374,91.75
680,3266.156,2896.975,0.0521,88.7
705,1616.967,1477.724,0.0391,91.39
730,1277.627,1140.516,0.0493,89.27
760,764.361,682.997,0.0489,89.36
810,1291.726,1154.363,0.0488,89.37
860,378.32,333.091,0.0553,88.04
900,251.72,230.224,0.0388,91.46
940,287.641,264.284,0.0368,91.88
