Wavelength_nm,I0_Reference_uW_per_cm2,I_Sample_uW_per_cm2,Absorbance,Transmittance_%
410,209.46,183.92,0.0565,87.81
435,1263.09,1008.156,0.0979,79.82
460,838.495,687.719,0.0861,82.02
485,580.641,1008.162,0.0,100.0
510,5501.135,4898.49,0.0504,89.05
535,5467.138,4932.851,0.0447,90.23
560,4811.383,4350.87,0.0437,90.43
585,9217.452,8457.049,0.0374,91.75
610,24946.318,23028.329,0.0347,92.31
645,4565.951,4270.314,0.0291,93.53
680,3266.156,3099.783,0.0227,94.91
705,1616.967,1525.456,0.0253,94.34
730,1277.627,1201.082,0.0268,94.01
760,764.361,717.222,0.0276,93.83
810,1291.726,1192.515,0.0347,92.32
860,378.32,348.636,0.0355,92.15
900,251.72,231.122,0.0371,91.82
940,287.641,265.874,0.0342,92.43
