Wavelength_nm,Absorbance_Raw,Absorbance_Calibrated
410,0.1976,0.680489
435,0.618,0.859828
460,0.8856,1.398
485,1.0784,2.186
510,1.2925,2.166986
535,1.1474,1.584471
560,0.4719,0.521753
585,0.0858,0.075981
610,0.0034,-0.014
645,0.0117,-0.003888
680,0.0,-0.004
705,0.0139,-0.010857
730,0.0,-0.017
760,0.0049,-0.014
810,0.0199,-0.015784
860,0.0162,-0.015584
900,0.1595,-0.003723
940,0.1209,-0.003458
