Wavelength_nm,I0_Reference_uW_per_cm2,I_Sample_uW_per_cm2,Absorbance_Calibrated,Transmittance_%
410,204.56,86.58,0.3734,42.32
435,1233.54,185.921,0.8218,15.07
460,863.88,118.755,0.8618,13.75
485,2846.028,1483.401,0.283,52.12
510,5318.51,4649.418,0.0584,87.42
535,5339.123,4664.109,0.0587,87.36
560,4534.783,3375.43,0.1282,74.43
585,8758.808,4588.839,0.2807,52.39
610,23952.053,5827.908,0.6138,24.33
645,4288.985,1408.806,0.4835,32.85
680,3183.825,2969.241,0.0303,93.26
705,1538.327,1488.86,0.0142,96.78
730,1242.626,1103.959,0.0514,88.84
760,741.704,599.257,0.0926,80.79
810,1246.505,542.818,0.361,43.55
860,362.345,194.936,0.2692,53.8
900,237.604,137.891,0.2363,58.03
940,272.226,151.528,0.2544,55.66
