Wavelength_nm,I0_Reference_uW_per_cm2,I_Sample_uW_per_cm2,Absorbance_Calibrated,Transmittance_%
410,204.56,58.629,0.5427,28.66
435,1233.54,745.813,0.2185,60.46
460,863.88,555.117,0.1921,64.26
485,2846.028,1111.199,0.4084,39.04
510,5318.51,1227.128,0.6369,23.07
535,5339.123,1162.136,0.6622,21.77
560,4534.783,1262.818,0.5552,27.85
585,8758.808,961.829,0.9593,10.98
610,23952.053,396.575,1.781,1.66
645,4288.985,221.131,1.2877,5.16
680,3183.825,2521.556,0.1013,79.2
705,1538.327,1386.495,0.0451,90.13
730,1242.626,1020.79,0.0854,82.15
760,741.704,519.873,0.1543,70.09
810,1246.505,187.867,0.8218,15.07
860,362.345,92.29,0.594,25.47
900,237.604,54.412,0.6402,22.9
940,272.226,80.716,0.528,29.65
