Wavelength_nm,Absorbance_Raw,Absorbance_Calibrated
410,0.0316,0.005
435,0.0539,0.010702
460,0.0725,0.064375
485,0.269,0.290333
510,0.5996,0.611986
535,0.5079,0.777185
560,0.0509,0.025118
585,0.0001,0.06
610,0.0,-0.014
645,0.0,-0.004
680,0.0,-0.004
705,0.0062,-0.010973
730,0.0,-0.017
760,0.0,-0.014
810,0.0,-0.013
860,0.0,-0.013
900,0.0693,-0.012415
940,0.033,-0.012377
