Wavelength_nm,Absorbance_Raw,Absorbance_Calibrated
410,0.5584,0.369
435,0.6704,1.010799
460,0.553,0.769938
485,0.1983,0.18959
510,0.0803,0.038388
535,0.1479,0.112809
560,0.3558,0.392202
585,0.7493,0.727649
610,1.4589,1.453678
645,1.0709,1.409924
680,0.0602,0.031148
705,0.0394,-0.007834
730,0.0608,-0.014357
760,0.1264,-0.01582
810,0.7071,-0.016971
860,0.4985,-0.01641
900,0.4417,-0.015498
940,0.4338,-0.015627
