Wavelength_nm,I0_Reference_uW_per_cm2,I_Sample_uW_per_cm2,Absorbance_Calibrated,Transmittance_%
410,203.76,57.02,0.5531,27.98
435,1245.027,267.162,0.6684,21.46
460,866.575,240.202,0.5572,27.72
485,2859.204,1810.08,0.1985,63.31
510,5379.988,4472.775,0.0802,83.14
535,5415.807,3860.106,0.1471,71.27
560,4682.3,2071.112,0.3543,44.23
585,9003.373,1621.497,0.7445,18.01
610,23231.027,830.459,1.4468,3.57
645,4372.087,379.132,1.0619,8.67
680,3078.644,2674.642,0.0611,86.88
705,1580.372,1440.645,0.0402,91.16
730,1195.234,1044.252,0.0586,87.37
760,714.844,536.273,0.1248,75.02
810,1204.521,237.94,0.7043,19.75
860,350.47,112.142,0.4949,32.0
900,245.496,88.998,0.4407,36.25
940,280.353,103.511,0.4327,36.92
