Wavelength_nm,Absorbance_Raw,Absorbance_Calibrated
410,0.5531,0.369
435,0.6684,1.005036
460,0.5572,0.777013
485,0.1985,0.189877
510,0.0802,0.038308
535,0.1471,0.112147
560,0.3543,0.389947
585,0.7445,0.722887
610,1.4468,1.438639
645,1.0619,1.394727
680,0.0611,0.031755
705,0.0402,-0.007717
730,0.0586,-0.014274
760,0.1248,-0.015782
810,0.7043,-0.016946
860,0.4949,-0.016388
900,0.4407,-0.015493
940,0.4327,-0.01562
