Wavelength_nm,Absorbance_Raw,Absorbance_Calibrated
410,0.2788,0.338683
435,0.2568,0.197912
460,0.3651,0.45342
485,0.9983,1.87982
510,1.5241,2.214
535,1.296,1.899
560,0.2925,0.297019
585,0.2113,0.19705
610,0.4181,0.36422
645,0.3622,0.389023
680,0.0038,-0.004
705,0.025,-0.009941
730,0.0206,-0.005809
760,0.0564,-0.009311
810,0.2533,-0.012334
860,0.1938,-0.011439
900,0.3452,-0.015007
940,0.2734,-0.015
