Wavelength_nm,Absorbance_Raw,Absorbance_Calibrated
410,0.1147,0.308344
435,0.6565,0.970751
460,0.9561,1.398
485,0.4605,0.506082
510,0.0692,0.029575
535,0.0123,0.035
560,0.0005,0.015
585,0.0,0.06
610,0.0,-0.014
645,0.0,-0.004
680,0.0,-0.004
705,0.0006,-0.014857
730,0.0,-0.017
760,0.0,-0.014
810,0.0,-0.013
860,0.0,-0.013
900,0.0154,-0.012
940,0.0203,-0.012
