Wavelength_nm,Absorbance_Raw,Absorbance_Calibrated
410,0.0,0.005
435,0.005,0.014
460,0.0112,-0.014
485,0.0,-0.006
510,0.0,0.018
535,0.0,0.035
560,0.0049,0.015
585,0.0,0.06
610,0.0,-0.014
645,0.0,-0.004
680,0.0,-0.004
705,0.0,-0.014
730,0.0,-0.017
760,0.0,-0.014
810,0.0,-0.013
860,0.0,-0.013
900,0.0,-0.012
940,0.0,-0.012
