Wavelength_nm,I0_Reference_uW_per_cm2,I_Sample_uW_per_cm2,Absorbance_Calibrated,Transmittance_%
410,204.56,135.975,0.1774,66.47
435,1233.54,375.454,0.5166,30.44
460,863.88,149.429,0.762,17.3
485,2846.028,257.762,1.043,9.06
510,5318.51,264.783,1.3029,4.98
535,5339.123,314.377,1.23,5.89
560,4534.783,1608.62,0.4501,35.47
585,8758.808,7549.755,0.0645,86.2
610,23952.053,23507.769,0.0081,98.15
645,4288.985,4380.468,0.0,100.0
680,3183.825,3219.353,0.0,100.0
705,1538.327,1534.372,0.0011,99.74
730,1242.626,1231.092,0.004,99.07
760,741.704,722.133,0.0116,97.36
810,1246.505,1176.59,0.0251,94.39
860,362.345,347.556,0.0181,95.92
900,237.604,170.743,0.1435,71.86
940,272.226,215.613,0.1013,79.2
