Scan,Scan_20251113_185816.csv
Mode,ABS
Lower,325
Upper,1100
Length,776
,,
wavelength(nm) , ABS , %T
325.0,0.181,65.92
326.0,0.167,68.08
327.0,0.153,70.31
328.0,0.140,72.44
329.0,0.128,74.47
330.0,0.118,76.21
331.0,0.110,77.62
332.0,0.103,78.89
333.0,0.096,80.17
334.0,0.091,81.10
335.0,0.086,82.04
336.0,0.082,82.79
337.0,0.079,83.37
338.0,0.077,83.75
339.0,0.076,83.95
340.0,0.075,84.14
341.0,0.074,84.33
342.0,0.075,84.14
343.0,0.075,84.14
344.0,0.076,83.95
345.0,0.077,83.75
346.0,0.079,83.37
347.0,0.081,82.99
348.0,0.083,82.60
349.0,0.086,82.04
350.0,0.089,81.47
351.0,0.092,80.91
352.0,0.096,80.17
353.0,0.100,79.43
354.0,0.104,78.70
355.0,0.109,77.80
356.0,0.114,76.91
357.0,0.119,76.03
358.0,0.124,75.16
359.0,0.130,74.13
360.0,0.138,72.78
361.0,0.143,71.94
362.0,0.149,70.96
363.0,0.155,69.98
364.0,0.161,69.02
365.0,0.167,68.08
366.0,0.173,67.14
367.0,0.180,66.07
368.0,0.187,65.01
369.0,0.194,63.97
370.0,0.202,62.81
371.0,0.212,61.38
372.0,0.221,60.12
373.0,0.230,58.88
374.0,0.240,57.54
375.0,0.251,56.10
376.0,0.263,54.58
377.0,0.274,53.21
378.0,0.285,51.88
379.0,0.296,50.58
380.0,0.306,49.43
381.0,0.317,48.19
382.0,0.327,47.10
383.0,0.336,46.13
384.0,0.345,45.19
385.0,0.352,44.46
386.0,0.359,43.75
387.0,0.367,42.95
388.0,0.374,42.27
389.0,0.380,41.69
390.0,0.386,41.11
391.0,0.393,40.46
392.0,0.399,39.90
393.0,0.407,39.17
394.0,0.417,38.28
395.0,0.426,37.50
396.0,0.437,36.56
397.0,0.448,35.65
398.0,0.461,34.59
399.0,0.475,33.50
400.0,0.489,32.43
401.0,0.502,31.48
402.0,0.515,30.55
403.0,0.526,29.79
404.0,0.536,29.11
405.0,0.544,28.58
406.0,0.548,28.31
407.0,0.550,28.18
408.0,0.549,28.25
409.0,0.545,28.51
410.0,0.537,29.04
411.0,0.526,29.79
412.0,0.513,30.69
413.0,0.498,31.77
414.0,0.483,32.89
415.0,0.466,34.20
416.0,0.447,35.73
417.0,0.427,37.41
418.0,0.408,39.08
419.0,0.389,40.83
420.0,0.372,42.46
421.0,0.353,44.36
422.0,0.334,46.34
423.0,0.316,48.31
424.0,0.301,50.00
425.0,0.285,51.88
426.0,0.271,53.58
427.0,0.259,55.08
428.0,0.246,56.75
429.0,0.234,58.34
430.0,0.224,59.70
431.0,0.216,60.81
432.0,0.207,62.09
433.0,0.200,63.10
434.0,0.192,64.27
435.0,0.186,65.16
436.0,0.181,65.92
437.0,0.176,66.68
438.0,0.172,67.30
439.0,0.168,67.92
440.0,0.164,68.55
441.0,0.161,69.02
442.0,0.157,69.66
443.0,0.154,70.15
444.0,0.151,70.63
445.0,0.148,71.12
446.0,0.145,71.61
447.0,0.142,72.11
448.0,0.139,72.61
449.0,0.136,73.11
450.0,0.133,73.62
451.0,0.130,74.13
452.0,0.127,74.64
453.0,0.124,75.16
454.0,0.122,75.51
455.0,0.119,76.03
456.0,0.115,76.74
457.0,0.112,77.27
458.0,0.110,77.62
459.0,0.107,78.16
460.0,0.105,78.52
461.0,0.103,78.89
462.0,0.101,79.25
463.0,0.099,79.62
464.0,0.097,79.98
465.0,0.095,80.35
466.0,0.093,80.72
467.0,0.090,81.28
468.0,0.088,81.66
469.0,0.086,82.04
470.0,0.083,82.60
471.0,0.081,82.99
472.0,0.079,83.37
473.0,0.076,83.95
474.0,0.074,84.33
475.0,0.071,84.92
476.0,0.069,85.31
477.0,0.067,85.70
478.0,0.064,86.30
479.0,0.062,86.70
480.0,0.059,87.30
481.0,0.057,87.70
482.0,0.054,88.31
483.0,0.052,88.72
484.0,0.050,89.13
485.0,0.048,89.54
486.0,0.046,89.95
487.0,0.044,90.36
488.0,0.043,90.57
489.0,0.042,90.78
490.0,0.041,90.99
491.0,0.040,91.20
492.0,0.039,91.41
493.0,0.038,91.62
494.0,0.038,91.62
495.0,0.038,91.62
496.0,0.038,91.62
497.0,0.039,91.41
498.0,0.039,91.41
499.0,0.040,91.20
500.0,0.044,90.36
501.0,0.046,89.95
502.0,0.047,89.74
503.0,0.048,89.54
504.0,0.050,89.13
505.0,0.052,88.72
506.0,0.054,88.31
507.0,0.056,87.90
508.0,0.058,87.50
509.0,0.061,86.90
510.0,0.063,86.50
511.0,0.066,85.90
512.0,0.069,85.31
513.0,0.072,84.72
514.0,0.076,83.95
515.0,0.079,83.37
516.0,0.083,82.60
517.0,0.087,81.85
518.0,0.090,81.28
519.0,0.095,80.35
520.0,0.099,79.62
521.0,0.104,78.70
522.0,0.109,77.80
523.0,0.113,77.09
524.0,0.118,76.21
