Scan,Scan_20251113_190506.csv
Mode,ABS
Lower,325
Upper,1100
Length,776
,,
wavelength(nm) , ABS , %T
325.0,0.221,60.12
326.0,0.204,62.52
327.0,0.187,65.01
328.0,0.171,67.45
329.0,0.155,69.98
330.0,0.142,72.11
331.0,0.131,73.96
332.0,0.120,75.86
333.0,0.112,77.27
334.0,0.104,78.70
335.0,0.096,80.17
336.0,0.089,81.47
337.0,0.084,82.41
338.0,0.080,83.18
339.0,0.077,83.75
340.0,0.074,84.33
341.0,0.072,84.72
342.0,0.071,84.92
343.0,0.070,85.11
344.0,0.070,85.11
345.0,0.070,85.11
346.0,0.070,85.11
347.0,0.071,84.92
348.0,0.072,84.72
349.0,0.073,84.53
350.0,0.074,84.33
351.0,0.076,83.95
352.0,0.078,83.56
353.0,0.080,83.18
354.0,0.082,82.79
355.0,0.085,82.22
356.0,0.087,81.85
357.0,0.089,81.47
358.0,0.092,80.91
359.0,0.095,80.35
360.0,0.099,79.62
361.0,0.102,79.07
362.0,0.104,78.70
363.0,0.107,78.16
364.0,0.110,77.62
365.0,0.113,77.09
366.0,0.117,76.38
367.0,0.121,75.68
368.0,0.125,74.99
369.0,0.129,74.30
370.0,0.134,73.45
371.0,0.140,72.44
372.0,0.146,71.45
373.0,0.152,70.47
374.0,0.159,69.34
375.0,0.167,68.08
376.0,0.175,66.83
377.0,0.183,65.61
378.0,0.190,64.57
379.0,0.198,63.39
380.0,0.205,62.37
381.0,0.213,61.24
382.0,0.220,60.26
383.0,0.227,59.29
384.0,0.232,58.61
385.0,0.238,57.81
386.0,0.243,57.15
387.0,0.248,56.49
388.0,0.253,55.85
389.0,0.257,55.34
390.0,0.261,54.83
391.0,0.266,54.20
392.0,0.271,53.58
393.0,0.277,52.84
394.0,0.284,52.00
395.0,0.291,51.17
396.0,0.299,50.23
397.0,0.307,49.32
398.0,0.317,48.19
399.0,0.327,47.10
400.0,0.338,45.92
401.0,0.347,44.98
402.0,0.357,43.95
403.0,0.365,43.15
404.0,0.372,42.46
405.0,0.378,41.88
406.0,0.381,41.59
407.0,0.381,41.59
408.0,0.380,41.69
409.0,0.376,42.07
410.0,0.369,42.76
411.0,0.361,43.55
412.0,0.350,44.67
413.0,0.339,45.81
414.0,0.326,47.21
415.0,0.313,48.64
416.0,0.298,50.35
417.0,0.282,52.24
418.0,0.267,54.08
419.0,0.252,55.98
420.0,0.242,57.28
421.0,0.227,59.29
422.0,0.212,61.38
423.0,0.198,63.39
424.0,0.186,65.16
425.0,0.174,66.99
426.0,0.163,68.71
427.0,0.154,70.15
428.0,0.144,71.78
429.0,0.136,73.11
430.0,0.129,74.30
431.0,0.123,75.34
432.0,0.117,76.38
433.0,0.112,77.27
434.0,0.108,77.98
435.0,0.105,78.52
436.0,0.102,79.07
437.0,0.101,79.25
438.0,0.099,79.62
439.0,0.098,79.80
440.0,0.098,79.80
441.0,0.098,79.80
442.0,0.099,79.62
443.0,0.100,79.43
444.0,0.101,79.25
445.0,0.103,78.89
446.0,0.105,78.52
447.0,0.107,78.16
448.0,0.110,77.62
449.0,0.113,77.09
450.0,0.116,76.56
451.0,0.120,75.86
452.0,0.124,75.16
453.0,0.128,74.47
454.0,0.132,73.79
455.0,0.136,73.11
456.0,0.141,72.28
457.0,0.146,71.45
458.0,0.151,70.63
459.0,0.157,69.66
460.0,0.162,68.87
461.0,0.168,67.92
462.0,0.174,66.99
463.0,0.180,66.07
464.0,0.186,65.16
465.0,0.192,64.27
466.0,0.198,63.39
467.0,0.205,62.37
468.0,0.212,61.38
469.0,0.219,60.39
470.0,0.226,59.43
471.0,0.233,58.48
472.0,0.241,57.41
473.0,0.249,56.36
474.0,0.258,55.21
475.0,0.267,54.08
476.0,0.276,52.97
477.0,0.285,51.88
478.0,0.296,50.58
479.0,0.307,49.32
480.0,0.318,48.08
481.0,0.329,46.88
482.0,0.340,45.71
483.0,0.351,44.57
484.0,0.361,43.55
485.0,0.373,42.36
486.0,0.384,41.30
487.0,0.393,40.46
488.0,0.402,39.63
489.0,0.411,38.82
490.0,0.419,38.11
491.0,0.427,37.41
492.0,0.435,36.73
493.0,0.442,36.14
494.0,0.448,35.65
495.0,0.454,35.16
496.0,0.460,34.67
497.0,0.466,34.20
498.0,0.472,33.73
499.0,0.478,33.27
500.0,0.488,32.51
501.0,0.495,31.99
502.0,0.504,31.33
503.0,0.512,30.76
504.0,0.522,30.06
505.0,0.531,29.44
506.0,0.543,28.64
507.0,0.554,27.93
508.0,0.568,27.04
509.0,0.583,26.12
510.0,0.599,25.18
511.0,0.614,24.32
512.0,0.632,23.33
513.0,0.651,22.34
514.0,0.672,21.28
515.0,0.692,20.32
516.0,0.712,19.41
517.0,0.732,18.54
518.0,0.751,17.74
519.0,0.771,16.94
520.0,0.789,16.26
521.0,0.805,15.67
522.0,0.819,15.17
523.0,0.830,14.79
524.0,0.839,14.49
525.0,0.846,14.26
526.0,0.849,14.16
527.0,0.847,14.22
528.0,0.843,14.35
529.0,0.835,14.62
530.0,0.823,15.03
531.0,0.807,15.60
532.0,0.789,16.26
533.0,0.769,17.02
534.0,0.749,17.82
535.0,0.726,18.79
536.0,0.700,19.95
537.0,0.675,21.13
538.0,0.650,22.39
539.0,0.626,23.66
540.0,0.604,24.89
