Wavelength_nm,I0_Reference_uW_per_cm2,I_Sample_uW_per_cm2,Absorbance_Calibrated,Transmittance_%
410,204.56,98.225,0.3186,48.02
435,1233.54,1053.64,0.0685,85.42
460,863.88,810.61,0.0276,93.83
485,2846.028,2631.846,0.034,92.47
510,5318.51,4794.494,0.045,90.15
535,5339.123,4219.564,0.1022,79.03
560,4534.783,2569.948,0.2466,56.67
585,8758.808,2531.953,0.539,28.91
610,23952.053,1759.045,1.1341,7.34
645,4288.985,622.537,0.8382,14.51
680,3183.825,2726.274,0.0674,85.63
705,1538.327,1453.475,0.0246,94.48
730,1242.626,1038.953,0.0777,83.61
760,741.704,545.067,0.1338,73.49
810,1246.505,313.907,0.5989,25.18
860,362.345,133.948,0.4322,36.97
900,237.604,107.67,0.3438,45.31
940,272.226,125.743,0.3354,46.19
