Wavelength_nm,I0_Reference_uW_per_cm2,I_Sample_uW_per_cm2,Absorbance_Calibrated,Transmittance_%
410,212.919,194.36,0.0396,91.28
435,1283.1,1081.523,0.0742,84.29
460,923.115,798.976,0.0627,86.55
485,2930.824,1587.789,0.2662,54.18
510,5434.972,1300.925,0.6209,23.94
535,5534.514,1647.038,0.5264,29.76
560,4774.048,4077.342,0.0685,85.41
585,9257.425,8842.423,0.0199,95.52
610,24324.323,22906.121,0.0261,94.17
645,4505.904,4263.062,0.0241,94.61
680,3293.232,3150.51,0.0192,95.67
705,1628.668,1561.812,0.0182,95.9
730,1263.364,1231.872,0.011,97.51
760,754.932,734.174,0.0121,97.25
810,1265.412,1199.155,0.0234,94.76
860,370.87,348.313,0.0273,93.92
900,251.463,206.805,0.0849,82.24
940,288.668,255.599,0.0528,88.54
