Wavelength_nm,I0_Reference_uW_per_cm2,I_Sample_uW_per_cm2,Absorbance_Calibrated,Transmittance_%
410,212.919,161.592,0.1198,75.89
435,1283.1,1087.822,0.0717,84.78
460,923.115,869.362,0.0261,94.18
485,2930.824,2537.511,0.0626,86.58
510,5434.972,4203.237,0.1116,77.34
535,5534.514,4278.395,0.1118,77.3
560,4774.048,3868.593,0.0913,81.03
585,9257.425,6662.601,0.1428,71.97
610,24324.323,12242.313,0.2982,50.33
645,4505.904,2523.235,0.2518,56.0
680,3293.232,3006.682,0.0395,91.3
705,1628.668,1540.991,0.024,94.62
730,1263.364,1158.368,0.0377,91.69
760,754.932,660.42,0.0581,87.48
810,1265.412,818.57,0.1892,64.69
860,370.87,260.345,0.1537,70.2
900,251.463,178.572,0.1487,71.01
940,288.668,206.365,0.1458,71.49
