Scan,Scan_20251125_001220.csv
Mode,ABS
Lower,325
Upper,1100
Length,776
,,
wavelength(nm) , ABS , %T
325.0,0.377,41.98
326.0,0.357,43.95
327.0,0.337,46.03
328.0,0.315,48.42
329.0,0.293,50.93
330.0,0.272,53.46
331.0,0.254,55.72
332.0,0.236,58.08
333.0,0.222,59.98
334.0,0.207,62.09
335.0,0.193,64.12
336.0,0.181,65.92
337.0,0.171,67.45
338.0,0.162,68.87
339.0,0.154,70.15
340.0,0.146,71.45
341.0,0.140,72.44
342.0,0.135,73.28
343.0,0.131,73.96
344.0,0.128,74.47
345.0,0.126,74.82
346.0,0.124,75.16
347.0,0.123,75.34
348.0,0.123,75.34
349.0,0.123,75.34
350.0,0.124,75.16
351.0,0.125,74.99
352.0,0.127,74.64
353.0,0.129,74.30
354.0,0.132,73.79
355.0,0.135,73.28
356.0,0.138,72.78
357.0,0.141,72.28
358.0,0.146,71.45
359.0,0.150,70.79
360.0,0.147,71.29
361.0,0.151,70.63
362.0,0.156,69.82
363.0,0.160,69.18
364.0,0.166,68.23
365.0,0.171,67.45
366.0,0.176,66.68
367.0,0.182,65.77
368.0,0.187,65.01
369.0,0.192,64.27
370.0,0.198,63.39
371.0,0.203,62.66
372.0,0.209,61.80
373.0,0.214,61.09
374.0,0.220,60.26
375.0,0.226,59.43
376.0,0.232,58.61
377.0,0.237,57.94
378.0,0.243,57.15
379.0,0.248,56.49
380.0,0.253,55.85
381.0,0.259,55.08
382.0,0.264,54.45
383.0,0.270,53.70
384.0,0.275,53.09
385.0,0.280,52.48
386.0,0.285,51.88
387.0,0.291,51.17
388.0,0.296,50.58
389.0,0.300,50.12
390.0,0.304,49.66
391.0,0.309,49.09
392.0,0.313,48.64
393.0,0.317,48.19
394.0,0.321,47.75
395.0,0.324,47.42
396.0,0.328,46.99
397.0,0.330,46.77
398.0,0.334,46.34
399.0,0.337,46.03
400.0,0.339,45.81
401.0,0.342,45.50
402.0,0.344,45.29
403.0,0.347,44.98
404.0,0.349,44.77
405.0,0.351,44.57
406.0,0.353,44.36
407.0,0.355,44.16
408.0,0.357,43.95
409.0,0.360,43.65
410.0,0.362,43.45
411.0,0.364,43.25
412.0,0.367,42.95
413.0,0.369,42.76
414.0,0.371,42.56
415.0,0.373,42.36
416.0,0.376,42.07
417.0,0.378,41.88
418.0,0.380,41.69
419.0,0.382,41.50
420.0,0.389,40.83
421.0,0.391,40.64
422.0,0.393,40.46
423.0,0.395,40.27
424.0,0.397,40.09
425.0,0.399,39.90
426.0,0.401,39.72
427.0,0.403,39.54
428.0,0.405,39.36
429.0,0.408,39.08
430.0,0.411,38.82
431.0,0.413,38.64
432.0,0.416,38.37
433.0,0.421,37.93
434.0,0.425,37.58
435.0,0.429,37.24
436.0,0.435,36.73
437.0,0.440,36.31
438.0,0.446,35.81
439.0,0.453,35.24
440.0,0.461,34.59
441.0,0.469,33.96
442.0,0.477,33.34
443.0,0.487,32.58
444.0,0.496,31.92
445.0,0.508,31.05
446.0,0.520,30.20
447.0,0.532,29.38
448.0,0.544,28.58
449.0,0.557,27.73
450.0,0.570,26.92
451.0,0.585,26.00
452.0,0.601,25.06
453.0,0.616,24.21
454.0,0.630,23.44
455.0,0.646,22.59
456.0,0.663,21.73
457.0,0.682,20.80
458.0,0.698,20.04
459.0,0.716,19.23
460.0,0.733,18.49
461.0,0.749,17.82
462.0,0.768,17.06
463.0,0.787,16.33
464.0,0.803,15.74
465.0,0.819,15.17
466.0,0.837,14.55
467.0,0.855,13.96
468.0,0.873,13.40
469.0,0.892,12.82
470.0,0.910,12.30
471.0,0.927,11.83
472.0,0.945,11.35
473.0,0.962,10.91
474.0,0.982,10.42
475.0,0.999,10.02
476.0,1.016,9.64
477.0,1.033,9.27
478.0,1.049,8.93
479.0,1.068,8.55
480.0,1.086,8.20
481.0,1.101,7.93
482.0,1.118,7.62
483.0,1.132,7.38
484.0,1.146,7.14
485.0,1.159,6.93
486.0,1.173,6.71
487.0,1.184,6.55
488.0,1.194,6.40
489.0,1.204,6.25
490.0,1.212,6.14
491.0,1.221,6.01
492.0,1.228,5.92
493.0,1.234,5.83
494.0,1.239,5.77
495.0,1.242,5.73
496.0,1.245,5.69
497.0,1.247,5.66
498.0,1.247,5.66
499.0,1.247,5.66
