Wavelength_nm,I0_Reference_uW_per_cm2,I_Sample_uW_per_cm2,Absorbance_Calibrated,Transmittance_%
410,212.919,130.75,0.2118,61.41
435,1283.1,993.241,0.1112,77.41
460,923.115,830.418,0.046,89.96
485,2930.824,2640.714,0.0453,90.1
510,5434.972,4750.242,0.0585,87.4
535,5534.514,4589.092,0.0814,82.92
560,4774.048,3390.114,0.1487,71.01
585,9257.425,4859.667,0.2799,52.49
610,24324.323,6589.745,0.5672,27.09
645,4505.904,1527.21,0.4699,33.89
680,3293.232,2988.262,0.0422,90.74
705,1628.668,1488.537,0.0391,91.4
730,1263.364,1115.654,0.054,88.31
760,754.932,613.437,0.0901,81.26
810,1265.412,583.865,0.3359,46.14
860,370.87,203.46,0.2607,54.86
900,251.463,147.194,0.2326,58.54
940,288.668,166.942,0.2378,57.83
