Wavelength_nm,I0_Reference_uW_per_cm2,I_Sample_uW_per_cm2,Absorbance_Calibrated,Transmittance_%
410,212.919,170.833,0.0956,80.23
435,1283.1,442.615,0.4622,34.5
460,923.115,302.705,0.4842,32.79
485,2930.824,2056.187,0.1539,70.16
510,5434.972,5126.733,0.0254,94.33
535,5534.514,5406.428,0.0102,97.69
560,4774.048,4655.38,0.0109,97.51
585,9257.425,9073.577,0.0087,98.01
610,24324.323,23330.282,0.0181,95.91
645,4505.904,4405.519,0.0098,97.77
680,3293.232,3084.382,0.0285,93.66
705,1628.668,1603.168,0.0069,98.43
730,1263.364,1225.554,0.0132,97.01
760,754.932,725.621,0.0172,96.12
810,1265.412,1203.671,0.0217,95.12
860,370.87,345.614,0.0306,93.19
900,251.463,242.225,0.0163,96.33
940,288.668,274.469,0.0219,95.08
