Wavelength_nm,I0_Reference_uW_per_cm2,I_Sample_uW_per_cm2,Absorbance_Calibrated,Transmittance_%
410,212.919,145.451,0.1655,68.31
435,1283.1,563.596,0.3573,43.92
460,923.115,470.211,0.293,50.94
485,2930.824,2317.329,0.102,79.07
510,5434.972,4945.479,0.041,90.99
535,5534.514,5078.439,0.0373,91.76
560,4774.048,4164.508,0.0593,87.23
585,9257.425,7283.599,0.1041,78.68
610,24324.323,14591.134,0.222,59.99
645,4505.904,2934.972,0.1862,65.14
680,3293.232,2983.03,0.043,90.58
705,1628.668,1561.729,0.0182,95.89
730,1263.364,1167.874,0.0341,92.44
760,754.932,674.839,0.0487,89.39
810,1265.412,907.224,0.1445,71.69
860,370.87,280.528,0.1212,75.64
900,251.463,197.501,0.1049,78.54
940,288.668,220.846,0.1163,76.51
