Wavelength_nm,I0_Reference_uW_per_cm2,I_Sample_uW_per_cm2,Absorbance_Calibrated,Transmittance_%
410,212.919,151.395,0.1481,71.1
435,1283.1,512.463,0.3986,39.94
460,923.115,256.644,0.5559,27.8
485,2930.824,436.558,0.8269,14.9
510,5434.972,595.8,0.9601,10.96
535,5534.514,1069.477,0.7139,19.32
560,4774.048,2546.986,0.2729,53.35
585,9257.425,8171.056,0.0542,88.26
610,24324.323,23009.789,0.0241,94.6
645,4505.904,4260.85,0.0243,94.56
680,3293.232,3207.78,0.0114,97.41
705,1628.668,1550.714,0.0213,95.21
730,1263.364,1238.415,0.0087,98.03
760,754.932,732.117,0.0133,96.98
810,1265.412,1184.507,0.0287,93.61
860,370.87,345.829,0.0304,93.25
900,251.463,184.283,0.135,73.28
940,288.668,229.534,0.0996,79.51
